대분류,품명,규격,단위,수량,자재비.단가,노무비.단가,경비.단가,연도,현장,협력사,계약번호,계약여부
REGISTER, REGISTER (AL) ,600*1300, EA ,6 ,136500 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
REGISTER, REGISTER (AL) ,800*1600, EA ,4 ,224000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
CHAMBER, SOUND CHAMBER ,2000*1800*1400, EA ,1 ,1605600 ,446000 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
CHAMBER, SOUND CHAMBER ,2300*2050*1600, EA ,1 ,2101500 ,583750 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
CHAMBER, SOUND CHAMBER ,4550*2700*1800, EA ,2 ,4560300 ,1266750 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
CHAMBER, SOUND CHAMBER ,4600*1700*2000, EA ,2 ,3675600 ,1021000 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
Turning Vane, T.V (STL) ,1100*700, EA ,4 ,77000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
Turning Vane, T.V (STL) ,1500*1400, EA ,1 ,210000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
Turning Vane, T.V (STL) ,1700*1200, EA ,8 ,204000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
Turning Vane, T.V (STL) ,1700*750, EA ,5 ,127500 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
Turning Vane, T.V (STL) ,2000*1100, EA ,5 ,220000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
Turning Vane, T.V (STL) ,500*300, EA ,1 ,15000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,1000*500, EA ,6 ,50000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,1000*700, EA ,4 ,70000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,1100*400, EA ,4 ,44000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,1100*900, EA ,1 ,99000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,1200*500, EA ,4 ,60000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,1300*600, EA ,3 ,78000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,1400*500, EA ,4 ,70000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,1600*1000, EA ,1 ,160000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,300*300, EA ,1 ,15000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,450*350, EA ,1 ,15750 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,500*300, EA ,1 ,15000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,550*500, EA ,1 ,27500 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,700*400, EA ,4 ,28000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,700*500, EA ,1 ,35000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,700*600, EA ,6 ,42000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,750*500, EA ,3 ,37500 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,750*600, EA ,1 ,45000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,800*400, EA ,4 ,32000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,800*900, EA ,3 ,72000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,850*700, EA ,1 ,59500 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,900*500, EA ,1 ,45000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,950*400, EA ,1 ,38000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,950*600, EA ,4 ,57000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
덕트공, 노무비 ,덕트공, 인 ,110 ,,136500 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
덕트, 각형덕트제작및설치 ,0.8T, M2 ,353 ,16747 ,16312 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
덕트, 각형덕트제작및설치 ,1.2T, M2 ,10 ,18960 ,18230 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴, 원형덕트(스파이럴) ,A100*0.5T, M ,14 ,3400 ,7145 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴, 원형덕트(스파이럴) ,A125*0.5T, M ,25 ,3400 ,7145 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴, 원형덕트(스파이럴) ,A150*0.5T, M ,43 ,4080 ,7145 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴, 원형덕트(스파이럴) ,A200*0.5T, M ,1 ,5355 ,9012 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴, 원형덕트(스파이럴) ,A250*0.5T, M ,31 ,6715 ,10967 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴, 원형덕트(스파이럴) ,A300*0.5T, M ,6 ,8075 ,12834 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴, 원형덕트(스파이럴) ,A350*0.5T, M ,19 ,9775 ,14790 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴, 원형덕트(스파이럴) ,A550*0.8T, M ,1 ,28900 ,24621 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴, 원형덕트(스파이럴) ,A600*0.8T, M ,10 ,31450 ,26518 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴엘보, 원형 덕트 ,100A, EA ,3 ,5525 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴엘보, 원형 덕트 ,125A, EA ,4 ,5525 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴엘보, 원형 덕트 ,150A, EA ,5 ,5525 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴엘보, 원형 덕트 ,350A, EA ,3 ,16363 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴티, 원형 덕트 ,150A, EA ,4 ,7225 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴티, 원형 덕트 ,250A, EA ,11 ,12155 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴티, 원형 덕트 ,350A, EA ,4 ,21123 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴티, 원형 덕트 ,600A, EA ,8 ,40290 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴레듀셔, 원형 덕트 ,600A, EA ,1 ,21250 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴캡, 원형 덕트 ,150A, EA ,2 ,2465 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴캡, 원형 덕트 ,250A, EA ,2 ,4165 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
스파이럴캡, 원형 덕트 ,350A, EA ,1 ,7310 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
FD/FVD 휴즈, FD/FVD 휴즈 ,equal, EA ,2 ,990 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
점검구, 점검구 ,300*200, EA ,2 ,15000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
STS_망, 스테인리스 망 ,#12, M2 ,8 ,25000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
U자형볼트/너트, U자형볼트/너트 ,비절연A150, EA ,1 ,6500 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
U자형볼트/너트, U자형볼트/너트 ,비절연A300, EA ,1 ,9300 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
내화충전재," 내화충전재(덕트,벽체) ",equal, M ,7 ,40600 ,45000 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
 유성페인트칠 , 유성페인트칠 , 유성페인트, M2 ,365 ,990 ,3958 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
녹막이페인트칠, 녹막이페인트칠 ,광명단2, M2 ,363 ,1704 ,2968 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
캔버스, 캔버스 ,1.2T, M2 ,9 ,15000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
F.V.D, F.D (STL) ,1200*700, EA ,1 ,84000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
F.V.D, F.V.D (STL) ,1000*800, EA ,1 ,80000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,800*800, EA ,1 ,64000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,100A, EA ,8 ,5625 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,125A, EA ,4 ,6250 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,150A, EA ,5 ,6875 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,200A, EA ,2 ,8750 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,250A, EA ,2 ,13750 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,300A, EA ,1 ,20000 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,550A, EA ,1 ,58750 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
V.D, V.D (STL) ,600A, EA ,1 ,81250 ,,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
덕트공, 노무비 ,덕트공, 인 ,16 ,,136500 ,,2019 ,뷰웍스,환승공조,2019-5-0157,계약
덕트, 각형덕트제작및설치 ,0.5T, M2 ,169 ,14830 ,14320 ,,2019 ,로체시스템,환승공조,2019-5-0229,계약
덕트, 각형덕트제작및설치 ,0.6T, M2 ,3010 ,15309 ,15036 ,,2019 ,로체시스템,환승공조,2019-5-0229,계약
덕트, 각형덕트제작및설치 ,0.8T, M2 ,5548 ,16747 ,16312 ,,2019 ,로체시스템,환승공조,2019-5-0229,계약
덕트, 각형덕트제작및설치 ,1.0T, M2 ,2939 ,17535 ,17167 ,,2019 ,로체시스템,환승공조,2019-5-0229,계약
덕트, 각형덕트제작및설치 ,1.2T, M2 ,1956 ,18130 ,17910 ,,2019 ,로체시스템,환승공조,2019-5-0229,계약
덕트_보온, 아티론덕트보온 ,20T 아티론, M2 ,13622 ,7750 ,6000 ,,2019 ,로체시스템,환승공조,2019-5-0229,계약
캔버스, 캔버스제작설치 ,1.2T, M2 ,100 ,15000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
DIFFUSER, 디퓨져 ,250A, EA ,90 ,23000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
후렉시블호스, 공조덕트(플렉시블) ,비보온A250, M ,69 ,4200 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
후렉시블호스, 공조덕트(플렉시블) ,보온A250, M ,66 ,5900 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
후렉시블호스, 공조덕트(플렉시블) ,보온A300, M ,1056 ,7080 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
점검구, 점검구 ,300*200, EA ,12 ,15000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
STS_BAND, 스텐밴드 ,250A, EA ,180 ,1470 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
STS_BAND, 스텐밴드 ,300A, EA ,1408 ,1800 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
동망, 동망 ,#24, M2 ,11 ,35000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
 유성페인트칠 , 유성페인트칠 , 유성페인트, M2 ,14 ,1100 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
녹막이페인트칠, 녹막이페인트칠 ,광명단1, M2 ,14 ,947 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
내화충전재, 내화충진재(덕트용) ,equal, M ,56 ,39500 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
F.V.D, F.D (STL) ,1000*400, EA ,3 ,40000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
F.V.D, F.D (STL) ,1000*600, EA ,1 ,60000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
F.V.D, F.D (STL) ,1400*1000, EA ,3 ,140000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
F.V.D, F.D (STL) ,1400*900, EA ,1 ,126000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
F.V.D, F.D (STL) ,2000*1200, EA ,4 ,240000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
GRILLE, GRILLE (STL) ,1600*800, EA ,309 ,115200 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
GRILLE, GRILLE (STL) ,800*600, EA ,29 ,43200 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
Turning Vane, T.V (STL) ,1200*700, EA ,1 ,84000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
Turning Vane, T.V (STL) ,2000*1200, EA ,2 ,240000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,1000*550, EA ,1 ,55000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,1000*600, EA ,1 ,60000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,1200*500, EA ,1 ,60000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,1200*550, EA ,2 ,66000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,1300*600, EA ,2 ,78000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,1300*650, EA ,1 ,84500 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,1400*750, EA ,2 ,105000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,300*250, EA ,2 ,15000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,300*300, EA ,13 ,15000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,400*250, EA ,8 ,15000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,400*300, EA ,1 ,15000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,400*350, EA ,41 ,15000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,400*400, EA ,148 ,16000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,450*350, EA ,1 ,15750 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,450*400, EA ,2 ,18000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,450*450, EA ,22 ,20250 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,500*350, EA ,4 ,17500 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,500*400, EA ,1 ,20000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,600*400, EA ,10 ,24000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,600*450, EA ,148 ,27000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,600*600, EA ,9 ,36000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,700*450, EA ,1 ,31500 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,700*500, EA ,22 ,35000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,800*450, EA ,6 ,36000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,800*500, EA ,1 ,40000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
V.D, V.D (STL) ,800*550, EA ,1 ,44000 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
CHAMBER, 소음챔버 ,2200*1400*1200, EA ,1 ,1006400 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
CHAMBER, 소음챔버 ,2400*1500*1500, EA ,2 ,1285200 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
CHAMBER, 소음챔버 ,5500*2300*1600, EA ,1 ,3180142 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
CHAMBER, 소음챔버 ,6800*2300*1600, EA ,1 ,4107200 ,,,2019 ,로체시스템,환승공조,2019-5-0229,계약
덕트, 기계식 덕트  ,0.6T, M2 ,185 ,14325 ,18650 ,,2019 ,동우화인켐 평택,서일이엔지,2019-5-0298,계약
덕트, 기계식 덕트  ,0.8T, M2 ,890 ,17500 ,20340 ,,2019 ,동우화인켐 평택,서일이엔지,2019-5-0298,계약
V.D, V.D 담파 ,500*300, EA ,24 ,15000 ,23500 ,,2019 ,동우화인켐 평택,서일이엔지,2019-5-0298,계약
V.D, V.D 담파 ,1000*600, EA ,5 ,60000 ,28600 ,,2019 ,동우화인켐 평택,서일이엔지,2019-5-0298,계약
V.D, V.D 담파 ,200A, EA ,106 ,12000 ,23500 ,,2019 ,동우화인켐 평택,서일이엔지,2019-5-0298,계약
에어타이트 댐퍼, 에어타이트 댐퍼 ,1500*600, EA ,5 ,225000 ,28600 ,,2019 ,동우화인켐 평택,서일이엔지,2019-5-0298,계약
SPIN_IN, 스핀 ,200A, EA ,180 ,1870 ,4650 ,,2019 ,동우화인켐 평택,서일이엔지,2019-5-0298,계약
후렉시블호스, 후렉시블 ,비보온A250, M ,530 ,2400 ,3800 ,,2019 ,동우화인켐 평택,서일이엔지,2019-5-0298,계약
STS_BAND, STS밴드 ,200A, EA ,216 ,550 ,,,2019 ,동우화인켐 평택,서일이엔지,2019-5-0298,계약
스파이럴덕트, 스파이럴 덕트 ,250A, M ,80 ,6720 ,18000 ,,2019 ,동우화인켐 평택,서일이엔지,2019-5-0298,계약
스파이럴엘보, 엘보  ,250A, EA ,25 ,9350 ,,,2019 ,동우화인켐 평택,서일이엔지,2019-5-0298,계약
스파이럴엘보, 45도 ,250A, EA ,40 ,5870 ,,,2019 ,동우화인켐 평택,서일이엔지,2019-5-0298,계약
덕트클리닝, 크리닝 및 자재 보양비 ,equal, M2 ,1075 ,1050 ,2300 ,,2019 ,동우화인켐 평택,서일이엔지,2019-5-0298,계약
덕트케이싱, 칼라 함석 덕트  ,1.2T, M2 ,195 ,24765 ,23416 ,,2019 ,동우화인켐 평택,서일이엔지,2019-5-0298,계약
에어타이트 댐퍼, 에어타이트 댐퍼(웜기어용) ,3800*1300, EA ,1 ,1482000 ,35480 ,,2019 ,동우화인켐 평택,서일이엔지,2019-5-0298,계약
STS_망, STS망 ,#24, M2 ,6 ,32640 ,,,2019 ,동우화인켐 평택,서일이엔지,2019-5-0298,계약
R/D 설치, RD-101 RELIEF DAMPER ,1연식, 대 ,10 ,  ,49023 ,,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
CAV, CAV-101 압력독립식 정풍량유닛트 ,, 대 ,1 ,560775 ,  ,,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
덕트, 각형덕트제작설치 ,0.5T, M2 ,214 ,14159 ,10926 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
덕트, 각형덕트제작설치 ,0.6T, M2 ,1784 ,15324 ,11422 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
덕트, 각형덕트제작설치 ,0.8T, M2 ,2031 ,17416 ,11636 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
덕트, 각형덕트제작설치 ,1.0T, M2 ,667 ,18771 ,13988 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
STS_덕트, STS 기계식덕트 ,0.8T, M2 ,22 ,43512 ,15620 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
덕트케이싱, 덕트케이싱(칼라철판) ,0.5T, M2 ,1552 ,11657 ,26225 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
캔버스, 캔버스제작설치 ,1.6T, M2 ,14 ,14112 ,15658 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
V.D, V.D ,300*250, EA ,3 ,15288 ,10553 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
V.D, V.D ,300*300, EA ,10 ,15288 ,10553 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
V.D, V.D ,500*200, EA ,4 ,15288 ,10553 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
V.D, V.D ,500*300, EA ,24 ,15288 ,12101 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
V.D, V.D ,500*350, EA ,8 ,17493 ,12889 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
V.D, V.D ,500*400, EA ,3 ,19992 ,13649 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
V.D, V.D ,500*500, EA ,1 ,24990 ,15197 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
V.D, V.D ,600*400, EA ,1 ,23990 ,14887 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
V.D, V.D ,600*500, EA ,2 ,29988 ,16746 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
V.D, V.D ,700*400, EA ,2 ,27988 ,16126 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
V.D, V.D ,700*600, EA ,1 ,41983 ,20460 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
V.D, V.D ,800*400, EA ,2 ,31987 ,17365 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
V.D, V.D ,800*500, EA ,2 ,39984 ,19841 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
V.D, V.D ,1200*750, EA ,1 ,89964 ,35322 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
V.D, V.D ,1400*800, EA ,1 ,111955 ,42133 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
F.V.D, F.V.D ,500*500, EA ,2 ,24990 ,16971 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
F.V.D, F.V.D ,600*500, EA ,3 ,29988 ,18715 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
F.V.D, F.V.D ,750*550, EA ,1 ,41232 ,22685 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
F.V.D, F.V.D ,900*600, EA ,1 ,53978 ,27159 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
F.V.D, F.V.D ,1000*600, EA ,1 ,59976 ,29270 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
F.V.D, F.V.D ,1100*600, EA ,1 ,65973 ,31381 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
F.V.D, F.V.D ,1200*600, EA ,3 ,71971 ,33492 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
F.V.D, F.V.D ,1200*750, EA ,3 ,89964 ,39825 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
F.V.D, F.V.D ,1400*800, EA ,1 ,111955 ,47565 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
F.V.D, F.V.D ,1750*1000, EA ,1 ,174930 ,69743 ,  ,2019 ,SKCHTM 진천,영진기술,2019-5-0498,계약
